area,circularity,extent,perimeter,solidity
905,0.42766,0.34203,163.07,0.72516
875,0.45052,0.37393,156.22,0.73406
2011,0.25548,0.73287,314.51,0.84283
792,1.0217,0.77344,98.697,0.9802
876,0.50593,0.47895,147.51,0.75387
556,0.14321,0.24301,220.88,0.48055
1154,0.74491,0.76933,139.53,0.89112
859,0.45471,0.37348,154.08,0.74244
470,0.39015,0.31973,123.04,0.76175
1988,0.24391,0.64671,320.03,0.81878
788,1.0286,0.76953,98.118,0.97767
883,0.45441,0.4599,156.26,0.73036
866,0.44214,0.3785,156.89,0.74017
1166,0.75535,0.82055,139.28,0.89623
871,0.42559,0.36292,160.37,0.71452
508,0.40227,0.34511,125.97,0.75371
489,0.15243,0.14174,200.78,0.34388
2066,0.25325,0.68501,320.18,0.84742
868,0.44149,0.45208,157.18,0.71558
446,0.38563,0.30034,120.56,0.70906
1181,0.6581,0.8034,150.17,0.88998
417,0.15525,0.14389,183.72,0.33683
521,0.41682,0.34321,125.33,0.75837
514,0.1585,0.17365,201.87,0.3499
2152,0.26594,0.6882,318.88,0.84558
749,0.83612,0.75504,106.1,0.95414
887,0.47642,0.40063,152.96,0.74916
1182,0.70541,0.76258,145.11,0.8704
443,0.1456,0.13192,195.54,0.32791
533,0.45194,0.35112,121.74,0.76471
2431,0.17911,0.6462,412.99,0.80205
522,0.40423,0.32064,127.39,0.78144
753,0.90707,0.78438,102.14,0.96538
909,0.42608,0.37087,163.73,0.73306
417,0.51365,0.40096,101,0.86157
947,0.39844,0.37196,172.82,0.69074
444,0.17117,0.16017,180.54,0.39467
907,0.39918,0.45124,168.98,0.70529
752,0.20121,0.35657,216.71,0.55498
793,0.82143,0.75095,110.14,0.94405
327,0.34304,0.49321,109.45,0.73483
880,0.45295,0.39747,156.25,0.74766
836,0.43031,0.35052,156.25,0.71883
1363,0.47552,0.54717,189.79,0.84975
437,0.16865,0.15765,180.45,0.39193
915,0.37557,0.44054,174.97,0.69161
929,0.19377,0.42151,245.45,0.64559
785,0.91323,0.79133,103.93,0.96914
323,0.33884,0.5,109.45,0.72584
883,0.47141,0.39883,153.42,0.75213
721,1.0459,0.77527,93.073,0.97829
994,0.13661,0.51583,302.38,0.75647
866,0.45398,0.69059,154.83,0.89648
1458,0.35365,0.64656,227.61,0.84522
214,0.35185,0.60795,87.425,0.76157
566,0.33385,0.51832,145.96,0.70574
792,0.89694,0.75,105.34,0.9635
334,0.37332,0.50377,106.03,0.7472
893,0.46082,0.38658,156.05,0.73863
733,0.96753,0.76354,97.572,0.96574
1110,0.071953,0.53623,440.29,0.6968
1356,0.26037,0.61636,255.82,0.82382
1383,0.46188,0.68195,193.98,0.8537
543,0.36148,0.507,137.39,0.68302
391,0.15972,0.17684,175.39,0.3738
335,0.30293,0.52344,117.88,0.71581
882,0.4344,0.34862,159.73,0.73561
728,0.89585,0.71094,101.05,0.94792
1042,0.1402,0.56477,305.6,0.74642
1173,0.22594,0.5554,255.42,0.79688
1271,0.51087,0.66614,176.82,0.82212
461,0.17062,0.21343,184.27,0.37756
360,0.15736,0.15444,169.55,0.37383
260,0.35783,0.74286,95.555,0.82019
861,0.43046,0.34662,158.54,0.72536
1165,0.72259,0.80345,142.34,0.90101
407,0.17026,0.20556,173.32,0.35299
1098,0.34982,0.60563,198.6,0.84138
791,0.79259,0.77246,111.99,0.95763
476,0.16528,0.21441,190.24,0.37188
400,0.16511,0.16632,174.48,0.39024
358,0.35265,0.55937,112.95,0.77155
882,0.447,0.35507,157.47,0.73256
1185,0.66737,0.77451,149.38,0.8817
440,0.1716,0.21256,179.5,0.35656
994,0.3834,0.30603,180.5,0.68269
240,0.28549,0.27586,102.78,0.48096
921,0.40978,0.44279,168.06,0.71729
460,0.15033,0.15162,196.09,0.38623
406,0.34337,0.50877,121.89,0.7289
429,0.36203,0.29709,122.03,0.7702
1203,0.63105,0.77115,154.78,0.87555
905,0.43264,0.36258,162.13,0.73517
987,0.38259,0.30463,180.05,0.69166
851,0.44441,0.46503,155.12,0.73236
584,0.14362,0.2781,226.05,0.48145
942,0.43572,0.35547,164.83,0.74173
382,0.36138,0.49037,115.25,0.7167
435,0.44021,0.29392,111.44,0.79963
1168,0.74597,0.77867,140.27,0.8916
921,0.42494,0.36203,165.03,0.71729
872,0.43154,0.46138,159.35,0.7291
987,0.38907,0.30416,178.55,0.68973
925,0.41087,0.33563,168.2,0.72097
457,0.3544,0.51932,127.3,0.73948
764,0.94602,0.77016,100.74,0.96831
742,1.0659,0.79785,93.528,0.98539
722,1.0078,0.72929,94.884,0.97043
1234,0.70822,0.526,147.97,0.89033
1221,0.69671,0.5619,148.4,0.88929
1286,0.68677,0.51461,153.4,0.89368
906,0.48084,0.47187,153.88,0.75626
1197,0.58259,0.50042,160.68,0.84894
760,1.0408,0.76613,95.794,0.97686
736,1.0656,0.7914,93.164,0.98527
708,1.0499,0.76129,92.056,0.9779
1271,0.47763,0.49961,182.87,0.82855
1277,0.48029,0.57678,182.79,0.8813
503,0.14736,0.11908,207.11,0.34125
952,0.43152,0.46484,166.5,0.74784
1226,0.61262,0.52393,158.58,0.87074
778,0.86849,0.76051,106.1,0.95813
359,0.48571,0.32966,96.375,0.89975
738,1.0643,0.79355,93.346,0.98269
313,0.17124,0.1716,151.56,0.35407
1784,0.25897,0.5575,294.22,0.78764
1246,0.59336,0.55725,162.44,0.88494
427,0.1749,0.14055,175.15,0.41618
900,0.45489,0.44865,157.68,0.74013
1191,0.58581,0.55602,159.84,0.85132
738,1.0621,0.79355,93.445,0.98138
731,1.0602,0.78602,93.081,0.98121
357,0.5361,0.34897,91.478,0.8925
1482,0.20494,0.5561,301.45,0.78914
265,0.15606,0.15057,146.07,0.37011
356,0.16453,0.21266,164.9,0.36069
361,0.15355,0.15737,171.89,0.34981
598,0.14144,0.28368,230.5,0.47198
1193,0.64433,0.5998,152.54,0.86764
762,1.0154,0.76815,97.109,0.97692
1145,0.71398,0.53009,141.96,0.89383
726,1.0664,0.80756,92.494,0.98641
1354,0.45035,0.58972,194.38,0.86297
286,0.15916,0.15476,150.27,0.37386
376,0.17059,0.21315,166.43,0.37154
381,0.15441,0.15915,176.09,0.35278
830,0.88848,0.76217,108.35,0.964
1183,0.73384,0.61042,142.33,0.88284
760,1.0529,0.76613,95.24,0.97812
1144,0.67553,0.52963,145.88,0.87865
731,1.0584,0.78602,93.164,0.98253
1295,0.40385,0.48831,200.74,0.85592
467,0.42689,0.29974,117.25,0.82218
478,0.3909,0.51957,123.96,0.73538
792,0.90488,0.77344,104.88,0.96117
1099,0.16846,0.58271,286.33,0.78556
331,0.3995,0.60623,102.04,0.79759
1210,0.63,0.59314,155.36,0.86801
1157,0.72357,0.53565,141.75,0.88119
737,1.0543,0.79247,93.726,0.97745
1343,0.40476,0.51714,204.19,0.8576
463,0.44921,0.2991,113.81,0.82384
502,0.38504,0.49605,128,0.70605
775,0.97592,0.80645,99.896,0.97362
905,0.41777,0.47858,164.99,0.74424
451,0.30373,0.49022,136.6,0.69599
807,0.50364,0.50596,141.9,0.75704
868,0.46435,0.3875,153.26,0.7288
736,1.0401,0.76587,94.297,0.97613
1365,0.33183,0.50499,227.36,0.82677
446,0.17723,0.13274,177.83,0.44914
480,0.37951,0.53333,126.07,0.71111
783,0.8101,0.74148,110.21,0.93885
878,0.4854,0.47306,150.77,0.75624
806,0.78577,0.74013,113.53,0.93612
833,0.41773,0.40833,158.3,0.70653
864,0.4674,0.39273,152.41,0.73469
730,1.0459,0.75963,93.652,0.97594
1427,0.27978,0.60827,253.17,0.85449
780,1.0399,0.78629,97.084,0.98113
262,0.15434,0.15595,146.05,0.32873
1673,0.29208,0.67081,268.29,0.81253
737,0.57626,0.52945,126.77,0.79077
1213,0.74327,0.64797,143.21,0.88347
707,1.0573,0.78556,91.667,0.97787
885,0.54606,0.50085,142.71,0.78042
1134,0.72229,0.63,140.46,0.88871
133,0.15779,0.10262,102.92,0.54508
1645,0.23371,0.59688,297.41,0.83418
800,0.81637,0.78201,110.97,0.94787
1750,0.16399,0.65201,366.2,0.77951
752,0.57709,0.5292,127.97,0.8
788,0.98804,0.76953,100.11,0.9645
741,0.79843,0.77107,107.99,0.93797
837,0.47633,0.40789,148.6,0.73875
892,0.52383,0.49611,146.28,0.77096
174,0.16212,0.10882,116.13,0.48066
1640,0.29779,0.60651,263.07,0.8555
931,0.39332,0.31474,172.47,0.69426
336,0.15472,0.17204,165.2,0.31818
1758,0.21614,0.63011,319.7,0.79584
751,0.55729,0.5285,130.13,0.79809
724,0.9199,0.77849,99.45,0.96662
832,0.46696,0.40546,149.63,0.73304
891,0.52873,0.49555,145.52,0.77411
165,0.16584,0.11134,111.82,0.51084
1961,0.36731,0.6725,259.02,0.86388
1405,0.45729,0.71684,196.49,0.8743
421,0.14606,0.15803,190.32,0.32285
1363,0.18313,0.59004,305.83,0.78243
762,0.5656,0.53624,130.11,0.80126
617,0.13215,0.20958,242.23,0.46217
790,0.676,0.74811,121.18,0.91119
900,0.52656,0.50056,146.56,0.77386
180,0.15766,0.10989,119.78,0.44226
1762,0.28855,0.60425,277.01,0.82452
1430,0.27762,0.72959,254.42,0.86353
453,0.14896,0.15686,195.48,0.32898
1387,0.19531,0.67659,298.73,0.83504
767,0.54224,0.51133,133.32,0.78909
633,0.13601,0.21044,241.84,0.46003
745,0.83726,0.72754,105.74,0.94304
191,0.25505,0.24362,97.008,0.43018
217,0.15792,0.11232,131.41,0.44928
2051,0.25592,0.63205,317.35,0.84265
1436,0.52362,0.74097,185.64,0.87242
452,0.14752,0.15448,196.22,0.33556
1546,0.2645,0.63076,271.02,0.82895
184,0.24408,0.25275,97.331,0.43294
778,0.63183,0.73674,124.39,0.92729
215,0.2683,0.26478,100.35,0.44885
755,0.97578,0.76109,98.606,0.96795
258,0.15068,0.10763,146.68,0.41815
838,0.54681,0.50788,138.77,0.78612
471,0.44762,0.34505,114.99,0.77851
1269,0.70117,0.53208,150.81,0.87517
185,0.26265,0.24667,94.081,0.44686
853,0.55395,0.51697,139.1,0.78908
1328,0.61218,0.67721,165.11,0.86178
739,0.90449,0.74496,101.33,0.95725
178,0.20967,0.1798,103.29,0.44279
834,0.46839,0.41124,149.58,0.73545
360,0.41793,0.27778,104.04,0.81448
861,0.54706,0.5125,140.63,0.78415
512,0.42806,0.3483,122.6,0.77225
1278,0.67804,0.53585,153.9,0.86762
340,0.16527,0.20644,160.79,0.35491
879,0.49274,0.48888,149.72,0.76769
416,0.34692,0.35556,122.75,0.78343
752,0.75709,0.78333,111.72,0.9507
256,0.17443,0.13545,135.81,0.38965
393,0.44165,0.28707,105.75,0.82218
851,0.47379,0.40408,150.24,0.73807
869,0.5007,0.48331,147.68,0.75895
469,0.39274,0.335,122.5,0.76634
959,0.44412,0.42812,164.73,0.73826
184,0.25562,0.2359,95.107,0.44444
879,0.47962,0.48059,151.76,0.75
859,0.43471,0.38641,157.58,0.73545
730,0.91245,0.78495,100.27,0.96817
418,0.43189,0.36538,110.28,0.81961
417,0.38291,0.3046,116.98,0.69849
850,0.46308,0.41122,151.88,0.74496
853,0.54931,0.50029,139.69,0.78763
845,0.287,0.69036,192.35,0.84839
790,0.91686,0.77148,104.06,0.96459
1926,0.3547,0.6614,261.22,0.86992
475,0.38865,0.40598,123.93,0.7711
788,0.59589,0.74621,128.91,0.90471
770,0.94243,0.75195,101.33,0.96491
422,0.4265,0.38364,111.51,0.83071
868,0.43609,0.39205,158.15,0.73373
415,0.44674,0.30314,108.04,0.79655
868,0.53706,0.5,142.51,0.78198
784,0.90313,0.76562,104.44,0.94915
791,1.0523,0.79738,97.191,0.98383
2009,0.42388,0.66611,244.05,0.8858
483,0.38653,0.41282,125.31,0.76183
825,0.52995,0.76037,139.87,0.90659
765,1.0311,0.77117,96.555,0.97826
431,0.3672,0.36037,121.45,0.81168
436,0.36844,0.30215,121.95,0.71829
130,0.39197,0.30093,64.558,0.59091
852,0.54582,0.49971,140.06,0.77879
770,0.73337,0.75195,114.86,0.94711
793,0.99299,0.77517,100.18,0.97181
1990,0.35507,0.67139,265.38,0.87975
412,0.16994,0.13872,174.54,0.35702
835,0.39358,0.74421,163.28,0.88641
761,1.0162,0.79188,97.01,0.98067
431,0.39029,0.36037,117.8,0.81784
434,0.41097,0.30868,115.2,0.73935
1235,0.13583,0.54743,338.02,0.77673
859,0.55128,0.51131,139.93,0.78233
1292,0.60106,0.71698,164.35,0.85676
1659,0.30802,0.63808,260.16,0.85604
443,0.16476,0.134,183.81,0.35554
783,0.65323,0.74148,122.73,0.91153
760,1.0304,0.76613,96.274,0.97812
